"Name","PITCHER_THROWS","pitch_type","velo","brk_x","brk_z","spin_rate","extension"
"Hank Murphy","R","BRK",82.891,-1.072,3.771,2669.249,5.5718
"Lou Collins","L","FB",91.148,-4.863,13.204,2196.496,5.7784
"Billy Heywood","L","FB",87.517,-3.236,12.497,2216.832,5.9879
"Gus Sinski","L","FB",87.104,7.823,5.441,1927.501,5.7603
"Lonnie Ritter","R","FB",94.546,-10.27,7.8,2225.385,5.4785
"Billy Heywood","L","FB",89.913,-6.276,12.69,2250.33,6.0104
"Roger Dorn","L","FB",87.763,10.807,9.113,2284.571,6.2369
"Davis Birch","R","FB",88.225,0.49,8.416,2799.262,5.3458
"Hank Murphy","R","FB",93.298,-2.522,7.011,2215.873,6.879
"Terrence Mann","R","FB",90.225,8.571,2.172,1993.468,7.0551
"Terrence Mann","R","FB",89.932,-5.539,7.921,2079.509,6.8737
"Mel Clark","R","FB",94.177,-12.501,11.093,2667.412,6.2519
"Mickey Scales","R","FB",92.407,-4.373,12.245,2309.354,6.3682
"Rigo Sanchez","L","CH",80.682,3.85,14.059,1768.367,5.5234
"Mel Clark","R","BRK",80.415,3.027,1.625,2240.642,5.6244
"George Knox","L","FB",92.974,-4.454,7.46,2564.781,7.451
"Davis Birch","R","BRK",77.723,7.482,-11.78,3095.932,5.7787
"Charlie Donovan","R","BRK",80.186,-0.613,-2.04,2333.486,5.176
"Ben Williams","L","FB",93.674,-6.086,9.382,1852.531,5.8857
"Jake Taylor","R","FB",91.639,8.057,6.241,2182.063,7.0643
"Billy Heywood","L","FB",90.815,-6.394,8.52,2117.311,5.9023
"Pete Klein","R","FB",94.911,4.204,12.027,2308.416,6.3194
"Mickey Scales","R","FB",94.043,-3.795,15.165,2413.809,6.7807
"Pedro Cerrano","R","CH",83.823,6.961,7.062,1604.869,5.8743
"Charlie Donovan","R","BRK",78.464,18.26,10.841,2251.873,5.0049
"Pedro Cerrano","R","FB",88.335,-5.687,9.122,2132.33,6.3713
"Pedro Cerrano","R","FB",86.678,-4.198,8.085,2157.278,6.3018
"Lou Collins","L","CH",76.723,8.154,0.976,2259.71,6.3766
"Lonnie Ritter","R","FB",92.418,-8.385,5.787,2143.227,5.7021
"Charlie Donovan","R","BRK",83.323,0.771,-4.667,2683.651,5.7255
"Roger Bomman","R","CH",84.226,-8.656,2.945,2079.726,6.6046
"Lonnie Ritter","R","FB",91.055,7.246,5.189,2047.921,5.5715
"Billy Chapel","L","FB",86.948,8.822,8.341,2092.783,5.5275
"Ken Strout","R","FB",92.622,4.77,10.294,2388.57,5.9911
"Lou Brown","L","FB",90.032,10.136,8.8,1968.837,6.124
"Lou Brown","L","FB",88.857,9.664,7.122,2210.682,6.2045
"Mickey Scales","R","FB",94.879,-5.408,9.955,2320.768,5.8956
"Roger Dorn","L","BRK",76.729,-3.343,-5.755,2765.097,6.3944
"Billy Chapel","L","FB",87.161,8.92,7.367,2300.848,5.4414
"Mel Clark","R","FB",96.141,-9.151,13.353,2501.096,6.1606
"Hank Murphy","R","BRK",86.693,4.011,-1.865,2906.292,5.8486
"Jake Taylor","R","CH",85.922,8.308,2.986,2003.538,6.8435
"Larry Fisher","R","BRK",81.92,-8.229,4.254,2225.974,5.7178
"Ken Strout","R","FB",92.878,-2.647,11.226,2420.024,6.1117
"Larry Fisher","R","CH",82.628,0.177,0.383,1026.889,6.7564
"Hank Murphy","R","BRK",83.873,0.44,2.968,2586.274,6.225
"Billy Chapel","L","FB",90.316,9.118,7.307,2281.539,5.2686
"Charlie Donovan","R","FB",86.531,-2.308,6.615,2138.395,6.0078
"Roger Dorn","L","CH",80.971,9.976,4.696,1995.397,6.3717
"Ken Strout","R","FB",93.999,-4.244,10.823,2609.566,6.4034
"Rigo Sanchez","L","CH",81.845,0.668,11.8,1838.092,5.8774
"Larry Fisher","R","FB",92.541,1.312,11.215,2140.809,6.4195
"Rigo Sanchez","L","FB",88.485,-0.754,13.822,2074.892,6.0862
"Billy Chapel","L","FB",89.026,9.545,6.81,1973.725,5.442
"Lonnie Ritter","R","BRK",84.434,-0.657,-1.133,2255.881,5.782
"Lou Brown","L","FB",89.325,-9.337,4.829,2167.303,5.9737
"Ben Williams","L","BRK",76.904,3.865,-4.003,1749.118,5.6464
"Roger Dorn","L","BRK",77.539,-4.885,-6.165,2856.013,5.5752
"Terrence Mann","R","BRK",77.59,6.894,0.207,1884.71,5.8224
"Lonnie Ritter","R","FB",92.858,8.598,7.217,2130.3,5.9982
"Jim Bowers","L","FB",93.39,3.256,12.079,2455.186,7.0824
"Billy Chapel","L","BRK",80.681,-4.189,-2.196,2785.455,5.145
"Lonnie Ritter","R","BRK",89.655,-0.469,3.896,2203.44,5.6869
"Larry Fisher","R","FB",90.826,-1.19,9.584,2001.493,6.7374
"Billy Chapel","L","FB",89.131,-6.661,10.584,2243.331,5.3628
"Roger Bomman","R","FB",92.853,-4.786,11.964,2440.717,5.9337
"Jake Taylor","R","CH",89.596,9.1,7.166,2016.043,7.0176
"Gus Sinski","L","FB",87.63,9.16,5.561,2051.347,5.8042
"Ben Williams","L","CH",85.524,6.621,7.965,1575.812,6.1595
"Billy Chapel","L","BRK",79.937,-3.846,-2.674,2541.918,5.1311
"Ken Strout","R","BRK",82.387,-10.32,-0.51,2768.82,5.343
"Charlie Donovan","R","FB",90.192,4.306,5.726,1982.594,5.5664
"Jack Bradfield","R","FB",95.582,9.582,7.12,2139.598,6.0862
"Rigo Sanchez","L","FB",88.311,-2.379,15.089,2056.573,5.6532
"Billy Heywood","L","BRK",75.414,7.165,-2.648,2410.867,5.5979
"Larry Fisher","R","FB",90.953,-0.046,6.271,1814.098,6.9589
"Ben Williams","L","BRK",84.301,6.163,-0.283,2576.708,5.2458
"Gus Sinski","L","BRK",78.509,0.166,-0.705,2290.487,5.2819
"Ken Strout","R","FB",90.982,5.229,9.749,2548.754,6.2717
"Roger Bomman","R","FB",92.227,9.471,7.585,2397.36,5.8466
"George Knox","L","FB",94.646,-0.755,7.331,2642.934,6.6943
"Ed Dweeb","R","FB",92.011,-7.919,7.805,2011.97,6.0887
"Billy Chapel","L","FB",89.32,4.342,9.235,2136.467,5.6485
"Roger Dorn","L","FB",87.42,9.387,12.389,2275.729,6.1066
"Terrence Mann","R","FB",88.742,5.085,6.298,2142.288,6.7936
"Charlie Donovan","R","FB",92.657,-6.984,10.027,2250.473,5.9063
"Ben Williams","L","FB",94.968,-7.437,9.702,2057.594,6.6333
"Lou Brown","L","BRK",74.265,0.763,1.401,1897.119,5.8803
"Davis Birch","R","FB",82.391,-2.702,4.673,2614.841,5.3693
"Billy Chapel","L","FB",90.092,-6.711,9.422,2332.978,5.4521
"Lou Brown","L","FB",89.707,8.163,7.759,1826.539,5.9741
"Gus Sinski","L","FB",88.686,7.871,3.366,2019.147,5.5904
"Jack Bradfield","R","FB",92.263,-11.169,9.612,2117.73,5.9674
"Billy Heywood","L","FB",86.808,3.338,10.11,2198.443,6.0968
"Jim Bowers","L","FB",92.696,2.82,14.444,2433.848,7.2412
"Hank Murphy","R","BRK",86.489,1.943,2.176,2745.352,NA
"Davis Birch","R","FB",84.992,-2.569,8.859,2416.15,6.0086
"Mickey Scales","R","FB",94.411,-5.333,13.045,2315.674,6.5507
"Mickey Scales","R","FB",93.182,-7.598,10.898,2340.488,6.8028
"Roger Bomman","R","FB",92.688,-7.563,6.896,2436.591,6.4584
"Ken Strout","R","BRK",79.212,5.472,-2.504,2529.305,5.5796
"Lou Collins","L","CH",76.516,8.52,0.108,2307.569,6.2402
"Roger Bomman","R","FB",90.117,-10.302,7.44,2356.515,6.3729
"Charlie Donovan","R","FB",90.614,5.891,12.232,2046.042,6.0745
"Mickey Hart","R","FB",91.28,-5.429,15.186,2171.11,6.7769
"Terrence Mann","R","BRK",82.085,-6.434,3.098,1983.635,5.7857
"Lonnie Ritter","R","BRK",80.966,-0.071,0.939,2215.677,5.5343
"Lou Brown","L","BRK",74.637,1.298,2.565,1857.575,5.8326
"Terrence Mann","R","BRK",79.271,-5.425,3.116,2038.879,5.9191
"Roger Dorn","L","FB",92.371,8.318,10.805,2442.123,6.4292
"Pedro Cerrano","R","BRK",77.398,2.072,-1.828,2301.94,5.6733
"Terrence Mann","R","BRK",76.801,5.204,-2.002,1788.381,6.0529
"Ben Williams","L","FB",93.771,5.517,11.035,2293.785,5.9815
"Ken Strout","R","FB",90.626,0.981,9.053,2552.388,6.3775
"Ken Strout","R","BRK",79.792,-6.798,-3.865,2746.977,4.8718
"Lou Collins","L","FB",91.886,4.475,14.595,2088.879,6.1376
"Lonnie Ritter","R","FB",92.582,8.815,5.855,2067.689,5.5351
"Terrence Mann","R","BRK",79.034,6.326,3.46,1969.395,5.9256
"Ben Williams","L","FB",93.405,-2.778,10.631,2280.854,5.9325
"Charlie Donovan","R","BRK",85.681,-2.45,4.416,2084.451,5.2784
"Roger Dorn","L","CH",81.251,10.422,8.105,2295.693,6.1609
"Ken Strout","R","FB",88.796,-1.429,8.808,2461.551,6.2712
"Lonnie Ritter","R","BRK",86.177,-2.834,-0.629,2361.491,4.6455
"Roger Bomman","R","FB",91.48,-10.069,7.232,2497.708,6.1659
"Mickey Scales","R","FB",91.762,-4.624,10.454,2337.74,6.6131
"Billy Chapel","L","BRK",81.846,4.345,0.635,2675.378,5.4767
"Mickey Scales","R","FB",91.754,-7.388,10.456,2329.729,6.0112
"Mel Clark","R","BRK",79.795,3.692,0.082,2216.212,5.7449
"Ben Williams","L","FB",92.425,5.539,8.434,2067.985,6.0761
"Davis Birch","R","FB",85.331,0.328,9.165,2480.906,5.6438
"Jack Bradfield","R","FB",94.551,8.091,7.353,2096.514,6.2889
"Mickey Scales","R","FB",96.506,-2.227,11.246,2463.584,5.7839
"Ben Williams","L","FB",94.268,7.314,9.456,1968.741,6.0436
"Ken Strout","R","FB",91.697,3.991,9.027,2463.997,6.3181
"Mickey Scales","R","FB",94.425,5.616,11.34,2326.487,5.8338
"Lou Brown","L","FB",89.256,9.144,4.406,2080.098,5.9488
"Lonnie Ritter","R","FB",92.892,-4.434,7.447,2139.439,5.4812
"Billy Chapel","L","FB",87.228,10.394,6.451,2226.455,5.4275
"Lou Brown","L","BRK",77.42,6.795,0.067,2014.043,5.7182
"Mickey Scales","R","FB",93.615,-3.798,14.199,2258.797,6.6194
"Roger Dorn","L","FB",88.434,8.402,10.657,2236.236,6.4709
"Jack Bradfield","R","CH",91.745,-8.997,7.419,1932.725,5.9795
"Jake Taylor","R","FB",92.854,7.864,5.643,2169.823,7.1963
"Larry Fisher","R","CH",80.056,3.073,4.891,1296.46,5.9021
"Ken Strout","R","FB",91.459,-4.137,11.891,2531.727,5.9672
"Ben Williams","L","FB",93.375,-9.601,7.211,2165.835,6.3836
"Hank Murphy","R","BRK",88.298,0.124,1.232,2677.694,5.9211
"Larry Fisher","R","FB",92.019,2.283,10.379,2147.407,6.4645
"Billy Chapel","L","FB",86.948,-8.822,8.341,2092.783,5.5275
"Charlie Donovan","R","FB",91.66,3.535,2.537,2209.405,6.526
"Billy Chapel","L","FB",88.777,9.2,7.764,2246.421,5.3257
"Lou Collins","L","CH",76.048,7.787,-1.424,2289.431,6.1471
"Ben Williams","L","BRK",82.132,-4.367,0.462,2560.597,5.0255
"Davis Birch","R","FB",88.696,-1.921,5.081,2631.544,5.2265
"Terrence Mann","R","BRK",77.421,-8.326,1.396,1864.137,6.0955
"Charlie Donovan","R","BRK",82.663,0.487,-0.392,2434.127,5.8671
"Lou Brown","L","FB",89.225,9.774,5.404,2057.165,6.0035
"George Knox","L","FB",93.14,-2.843,9.215,2468.841,7.3075
"Terrence Mann","R","CH",79.143,-7.992,5.393,1631.396,7.0838
"Lou Brown","L","FB",88.382,8.648,6.875,2215.633,5.9359
"Mel Clark","R","FB",94.49,13.386,8.939,2479.404,6.5946
"Lonnie Ritter","R","FB",92.663,9.445,5.113,2135.053,5.7537
"Billy Chapel","L","FB",89.086,15.018,19.914,2274.236,5.3025
"Terrence Mann","R","BRK",77.67,6.518,0.882,1831.161,5.9104
"Mickey Scales","R","FB",93.402,-3.492,11.948,2381.361,6.4211
"Ben Williams","L","FB",94.284,8.394,7.537,2168.314,5.792
"Jim Bowers","L","FB",94.516,-0.421,11.971,2468.546,7.0288
"Lou Brown","L","FB",91.293,9.116,7.733,2193.032,6.0359
"Lou Brown","L","FB",87.668,-7.041,8.424,2194.956,5.8518
"Billy Chapel","L","FB",88.35,-7.242,8.818,2247.816,5.3356
"Jake Taylor","R","BRK",79.581,-3.529,1.479,2473.548,6.576
"Billy Chapel","L","FB",87.072,-7.18,9.837,2137.708,5.2629
"Roger Bomman","R","FB",91.577,-7.909,8.899,2430.084,6.2041
"Terrence Mann","R","BRK",75.728,8.98,1.303,1780.653,6.1221
"Larry Fisher","R","CH",82.29,3.32,5.757,1555.748,6.2453
"Lou Brown","L","FB",89.63,8.699,6.206,2018.936,6.0393
"Ken Strout","R","BRK",77.275,7.017,-4.566,2627.368,4.7129
"Ben Williams","L","FB",95.378,-5.715,10.083,2378.959,6.3382
"Ben Williams","L","CH",83.032,3.956,8.762,1456.899,6.0846
"Lonnie Ritter","R","FB",93.9,8.717,4.941,2041.416,5.7551
"Mel Clark","R","BRK",82.333,0.027,-0.178,2118.404,5.7559
"George Knox","L","FB",92.696,-3.662,8.44,2563.37,7.4163
"Mickey Scales","R","FB",92.783,-5.396,14.025,2322.245,6.4024
"Billy Chapel","L","BRK",79.269,4.502,-3.012,2727.351,5.232
"Roger Dorn","L","BRK",77.551,2.344,-7.707,2764.968,5.8026
"Jim Bowers","L","FB",94.715,-1.072,10.197,2194.979,7.0676
"Roger Bomman","R","FB",93.477,-9.951,8.93,2537.186,6.7357
"Billy Chapel","L","FB",87.171,-6.427,7.34,2160.919,5.3911
"Pedro Cerrano","R","BRK",75.6,0.11,-0.656,2157.805,6.0018
"Jack Bradfield","R","FB",92.952,7.407,9.063,2059.873,6.0784
"Lonnie Ritter","R","FB",93.58,7.956,5.433,2219.371,5.7095
"Ben Williams","L","CH",86.475,8.989,6.956,1981.688,5.8926
"Rudy Bonilla","R","FB",89.256,6.621,7.708,2032.303,6.1799
"Jack Bradfield","R","FB",93.908,5.56,7.883,2143.909,6.1024
"Mel Clark","R","CH",83.102,11.014,7.761,1565.49,6.262
"Ben Williams","L","FB",95.452,6.57,11.787,2383.729,6.0878
"Pedro Cerrano","R","FB",88.6,3.647,9.546,2314.463,6.2844
"Lonnie Ritter","R","BRK",83.097,-1.153,-1.668,2308.626,5.1844
"Lou Brown","L","FB",90.586,-9.271,6.209,2283.873,6.1581
"Jack Bradfield","R","BRK",86.562,0.608,5.295,1914.459,6.3723
"Pedro Cerrano","R","FB",88.171,4.475,9.581,2273.167,6.2379
"Gus Sinski","L","BRK",78.381,2.498,3.312,2364.883,5.6461
"Jack Bradfield","R","FB",95.833,-11.796,6.381,2128.264,6.175
"Lou Brown","L","FB",92.576,-5.231,15.854,2271.217,5.7796
"Jack Bradfield","R","FB",96.008,-10.073,9.293,2196.515,6.151
"Jack Bradfield","R","BRK",88.69,-1.312,1.971,2169.101,5.4063
"Ben Williams","L","FB",94.061,-3.724,11.476,2076.627,5.9853
"Roger Bomman","R","FB",93.701,-9.472,11.067,2635.056,6.4669
"Billy Chapel","L","BRK",80.788,5.345,-3.442,2845.742,5.0046
"Charlie Donovan","R","FB",88.982,5.698,5.435,2167.909,6.3301
"Charlie Donovan","R","FB",90.274,-9.776,8.872,2162.108,5.6889
"Hank Murphy","R","BRK",86.764,0.496,2.372,2827.156,5.9655
"Jimmy Pena","R","FB",88.658,-0.348,18.469,2384.826,6.1311
"Ben Williams","L","FB",91.831,4.701,9.86,2227.404,6.0166
"Ken Strout","R","FB",91.562,6.492,9.232,2159.886,5.9002
"Mickey Scales","R","FB",92.493,6.995,6.422,2281.52,6.4661
"Billy Chapel","L","FB",89.441,-6.945,7.164,2240.049,5.5636
"Lou Brown","L","FB",89.8,8.814,7.312,2129.309,6.0604
"Terrence Mann","R","FB",88.17,-7.862,1.633,1969.124,7.0529
"Roger Dorn","L","FB",89.394,9.988,8.69,2463.71,6.5677
"Mel Clark","R","FB",96.148,5.625,7.484,2589.53,6.4176
"Hank Murphy","R","BRK",84.719,0.503,2.147,2623.118,6.1338
"Billy Chapel","L","FB",87.518,-7.471,10.409,2099.929,5.481
"Ben Williams","L","FB",93.409,5.037,11.599,2176.307,6.0871
"Jake Taylor","R","FB",90.626,-5.329,8.914,2103.693,7.0861
"Roger Dorn","L","BRK",74.564,5.46,-7.172,2755.86,6.2681
"Ben Williams","L","BRK",81.524,-4.161,-3.318,2357.151,5.2947
"Ben Williams","L","FB",94.333,5.594,9.129,2206.081,5.8159
"Jack Bradfield","R","FB",96.107,-6.308,11.107,2194.263,5.9639
"Billy Chapel","L","FB",86.645,4.255,11.273,2280.805,5.6321
"Jim Bowers","L","FB",94.468,-3.404,12.08,2296.164,7.2275
"Billy Chapel","L","FB",87.15,7.869,7.783,2142.187,5.4377
"Billy Chapel","L","CH",81.295,7.169,5.094,1992.76,5.481
"Roger Dorn","L","CH",77.138,8.366,6.298,2065.365,6.3236
"Ben Williams","L","FB",94.334,6.212,10.441,2172.68,5.8003
"Ken Strout","R","BRK",79.687,-4.405,-9.712,2632.804,5.506
"Davis Birch","R","BRK",73.16,4.405,-9.1,2884.085,5.3853
"Charlie Donovan","R","FB",91.147,-6.972,7.269,1988.834,5.8332
"Roger Bomman","R","FB",94.543,-9.962,4.646,2649.634,6.5525
"Roger Dorn","L","FB",88.959,-9.527,6.449,2314.507,6.6683
"Billy Chapel","L","FB",87.886,6.825,8.241,2271.46,5.4596
"Charlie Donovan","R","FB",93.855,-4.63,9.392,2344.902,6.239
"Mel Clark","R","FB",92.055,-9.066,11.64,2430.304,6.0314
"Ben Williams","L","FB",92.006,4.442,9.671,2116.195,6.1245
"Roger Dorn","L","FB",88.454,-9.965,9.885,2218.707,5.3862
"Rudy Bonilla","R","FB",89.173,7.293,9.51,2021.013,6.1784
"Gus Sinski","L","FB",86.342,7.867,5.169,2124.392,6.083
"Ken Strout","R","CH",84.16,5.658,7.905,2021.011,5.9748
"Charlie Donovan","R","FB",90.011,6.472,1.097,2237.346,6.4378
"Terrence Mann","R","FB",87.656,-6.276,5.402,1921.453,6.7857
"Billy Heywood","L","CH",80.698,-0.623,2.155,1101.63,5.5581
"Ben Williams","L","CH",82.815,8.066,6.155,1941.122,5.782
"Rigo Sanchez","L","FB",88.505,-2.212,12.999,2040.182,5.7355
"Terrence Mann","R","FB",88.097,-9.297,8.191,2071.974,6.9578
"Ben Williams","L","CH",84.266,9.763,4.482,1841.622,5.7041
"Billy Chapel","L","BRK",79.392,-4.576,-0.708,2750.449,5.8604
"Charlie Donovan","R","FB",87.578,8.05,5.651,2097.948,5.8904
"Roger Bomman","R","FB",93.063,-5.583,11.054,2507.147,6.3729
"Mickey Hart","R","BRK",82.017,-5.382,4.995,2403.613,6.0638
"Pedro Cerrano","R","FB",90.163,-3.663,8.602,2349.767,6.5322
"Charlie Donovan","R","BRK",79.93,0.78,-3.116,2407.257,5.6484
"Ben Williams","L","CH",85.758,6.402,6.914,1798.404,5.7251
"Mickey Scales","R","FB",90.446,7.054,13.209,2191.398,6.4364
"Mickey Scales","R","FB",94.93,4.434,13.262,2443.578,6.3564
"Billy Chapel","L","BRK",80.971,-3.374,-2.241,2740.252,5.0958
"George Knox","L","FB",95.367,-4.318,9.887,2613.629,6.7919
"George Knox","L","FB",92.47,5.002,6.751,2566.677,7.3816
"Lou Brown","L","BRK",76.044,-2.148,0.978,1992.964,5.739
"Mel Clark","R","BRK",78.012,-5.242,-0.336,2168.139,5.7004
"Larry Fisher","R","CH",82.142,6.675,3.085,1391.27,6.0989
"Charlie Donovan","R","FB",90.419,-5.444,7.755,2240.46,5.8502
"Terrence Mann","R","FB",90.82,8.794,7.984,2342.29,6.8997
"Ben Williams","L","BRK",82.415,5.657,-0.753,2387.778,5.2538
"Terrence Mann","R","FB",87.884,8.12,6.346,1995.273,6.8166
"Ken Strout","R","FB",93.582,7.353,9.951,2534.281,6.0386
"Lou Brown","L","FB",89.412,-4.769,11.136,2207.813,5.9403
"Charlie Donovan","R","CH",85.144,6.565,8.022,1917.003,5.5447
"Ben Williams","L","FB",94.45,5.803,8.813,2258.351,5.9435
"Mickey Scales","R","BRK",81.354,3.809,2.645,2735.526,5.3732
"Jake Taylor","R","BRK",86.934,1.593,-0.32,2380.297,6.7133
"Jack Bradfield","R","FB",96.77,10.384,7.185,2286.652,5.8537
"Rudy Bonilla","R","FB",90.855,-4.241,9.415,2125.214,6.7293
"Lou Collins","L","FB",90.461,-8.907,10.677,2060.253,6.1053
"Lou Brown","L","FB",89.457,10.856,7.616,2052.308,6.0364
"Roger Bomman","R","BRK",76.406,5.209,-6.638,2309.399,6.0055
"Lou Brown","L","FB",89.788,10.71,7.462,2130.814,6.0254
"Ben Williams","L","FB",94.5,-3.717,13.219,2409.775,6.0165
"Rudy Bonilla","R","FB",89.425,6.532,7.864,2057.347,6.433
"Pete Klein","R","FB",90.262,-4.024,12.962,2267.248,6.2204
"Terrence Mann","R","FB",88.245,-6.663,5.828,2061.623,7.0066
"Roger Dorn","L","FB",88.697,10.218,11.408,2245.542,6.1687
"Rigo Sanchez","L","FB",87.22,1.103,14.009,2092.121,5.6664
"Ben Williams","L","CH",83.862,7.774,5.657,1769.909,5.5797
"Jim Bowers","L","FB",94.274,-3.741,15.87,2301.013,7.1159
"Ben Williams","L","FB",94.603,7.57,10.154,2135.042,6.1379
"Charlie Donovan","R","FB",90.167,-9.482,5.171,2105.997,6.423
"Mickey Scales","R","FB",92.512,-5.483,12.132,2287.978,6.496
"Jim Bowers","L","FB",94.325,3.113,14.001,2493.659,7.1423
"Jack Bradfield","R","FB",94.071,9.269,8.738,2210.77,6.0727
"Larry Fisher","R","FB",90.857,-4.704,6.759,2334.206,6.3473
"Rudy Bonilla","R","FB",91.028,10.014,7.378,2212.632,6.0905
"Terrence Mann","R","FB",88.251,-8.689,6.521,1994.082,6.8987
"Jim Bowers","L","BRK",73.747,-4.691,-9.046,2341.208,6.4181
"Lou Collins","L","CH",73.949,7.302,-2.775,2294.713,5.9892
"Hank Murphy","R","FB",93.506,5.3,7.313,2428.242,6.1627
"Lonnie Ritter","R","FB",91.71,-10.202,7.238,2120.814,5.3641
"Terrence Mann","R","FB",89.485,4.262,10.149,2072.755,6.6634
"Ken Strout","R","CH",86.14,11.822,11.003,2136.235,6.2182
"Billy Chapel","L","BRK",79.445,4.283,-2.502,2672.515,5.2256
"Roger Bomman","R","BRK",75.508,9.941,-5.713,2235.627,6.0985
"Lou Brown","L","CH",87.715,-12.638,4.673,1838.683,5.9313
"George Knox","L","FB",93.427,4.818,8.145,2499.96,6.3226
"Lonnie Ritter","R","FB",93.856,-7.232,7.779,2134.249,5.838
"George Knox","L","FB",91.302,6.286,7.371,2542.274,7.3708
"Gus Sinski","L","FB",83.81,9.794,5.86,2150.528,5.6511
"Jim Bowers","L","FB",95.056,1.166,15.012,2464.759,7.1459
"Charlie Donovan","R","FB",90.118,8.099,9.568,2221.217,5.9096
"Billy Chapel","L","BRK",77.735,2.871,-2.563,2702.742,5.0944
"Terrence Mann","R","FB",89.386,3.839,7.619,2194.198,6.9237
"Terrence Mann","R","FB",89.618,0.693,6.671,2117.77,6.6163
"Ben Williams","L","FB",92.75,5.854,11.954,2448.138,6.1591
"Lou Brown","L","FB",87.959,8.172,8.179,2066.055,5.7493
"Lonnie Ritter","R","CH",82.622,6.709,5.052,1499.389,6.6973
"Mel Clark","R","FB",92.091,3.516,7.562,2536.284,6.4142
"Lou Brown","L","FB",88.282,8.442,6.42,2096.337,5.9028
"Lou Collins","L","BRK",78.549,-4.134,-8.036,2785.27,5.8595
"Larry Fisher","R","FB",90.529,-0.626,10.611,1963.264,7.1076
"Lonnie Ritter","R","BRK",84.266,-2.067,-1.666,2449.833,5.4258
"Jack Bradfield","R","CH",88.515,10.865,6.928,1829.821,5.8292
"Ben Williams","L","FB",94.806,11.604,6.015,2160.78,6.2811
"Hank Murphy","R","CH",87.716,10.95,3.485,2014.929,6.0377
"Davis Birch","R","FB",86.267,5.13,4.83,2737.607,5.8375
"Larry Fisher","R","CH",84.303,3.536,5.105,1558.806,6.2973
"Rigo Sanchez","L","BRK",79.212,0.008,-8.78,2642.165,5.7282
"Rigo Sanchez","L","BRK",88.403,0.695,9.406,2094.67,5.9845
"Rudy Bonilla","R","FB",90.377,5.902,9.866,2121.832,6.1746
"Billy Chapel","L","BRK",71.574,-10.769,-5.363,2561.249,5.1602
"Terrence Mann","R","BRK",79.435,-7.058,2.329,1895.362,5.7581
"Lou Collins","L","FB",89.769,5.652,8.954,2100.911,5.8608
"Jack Bradfield","R","BRK",87.08,1.433,1.39,2176.488,5.5672
"George Knox","L","FB",94.92,7.502,8.096,2640.676,6.8622
"Ben Williams","L","FB",94.128,-5.514,12.141,2069.94,5.9212
"Roger Bomman","R","FB",92.407,-9.788,7.769,2564.404,6.6607
"Terrence Mann","R","BRK",76.329,-8.946,0.07,1707.932,5.8617
"Lou Brown","L","FB",91.96,10.746,6.059,2198.73,6.0056
"Roger Bomman","R","CH",83.554,-9.469,6.327,2348.621,6.011
"Hank Murphy","R","FB",92.188,6.14,5.05,2459.726,6.5305
"Charlie Donovan","R","FB",92.24,-7.427,9.596,2195.538,5.8198
"Roger Bomman","R","FB",92.064,7.224,8.86,2301.033,6.298
"Lonnie Ritter","R","FB",94.515,10.059,4.998,2227.599,5.3953
"Davis Birch","R","FB",89.191,3.221,6.775,2849.067,5.6922
"Roger Bomman","R","CH",75.419,3.491,-7.928,2224.388,5.1536
"Gus Sinski","L","FB",88.361,7.32,6.386,2005.768,5.6216
"Lou Collins","L","FB",89.71,-6.104,9.648,2228.956,5.6449
"Larry Fisher","R","FB",91.831,-4.998,9.262,2145.924,6.669
"Lonnie Ritter","R","FB",91.657,10.434,4.638,2081.699,5.8624
"Hank Murphy","R","BRK",88.048,-0.835,1.167,2706.022,6.6523
"Davis Birch","R","BRK",75.33,2.635,-8.814,2880.022,4.9151
"Jimmy Pena","R","FB",89.731,-6.228,19.775,2479.137,6.1218
"Lou Brown","L","FB",89.213,7.698,9.726,2233.767,5.8893
"Mickey Scales","R","FB",91.891,2.481,11.373,2295.436,6.3137
"Rigo Sanchez","L","FB",88.368,0.996,15.243,2173.335,5.8978
"Lou Collins","L","FB",91.999,-4.325,8.948,2190.355,5.841
"Lou Collins","L","FB",88.962,3.509,11.538,2167.386,5.5106
"Pedro Cerrano","R","BRK",76.956,2.045,-0.478,2066.108,5.8884
"Ben Williams","L","FB",93.002,6.998,9.72,2209.626,5.9817
"Billy Chapel","L","CH",81.707,26.958,14.574,1796.36,5.2995
"Roger Bomman","R","CH",84.676,-6.329,3.582,2385.014,6.3448
"Gus Sinski","L","FB",88.52,5.658,5.119,1974.793,5.6223
"Billy Chapel","L","FB",87.857,-4.194,11.29,2053.404,5.4986
"Charlie Donovan","R","BRK",82.362,-3.836,-1.714,2591.12,5.3883
"Charlie Donovan","R","FB",89.939,-5.4,7.111,2298.883,6.0571
"Lonnie Ritter","R","FB",91.696,7.4,4.197,2129.911,5.6236
"Terrence Mann","R","FB",92.94,7.127,5.726,2141.318,6.5276
"Lou Brown","L","FB",90.075,9.928,7.479,2190.614,6.0282
"Jimmy Dougan","R","BRK",78.153,-10.236,-1.925,2706.21,5.354
"Hank Murphy","R","BRK",85.045,-1.17,1.251,2579.049,6.7696
"Jimmy Dougan","R","FB",88.754,-5.71,5.078,1870.576,5.6309
"Davis Birch","R","FB",87.93,-4.209,5.851,2487.386,5.1941
"Charlie Donovan","R","FB",93.758,-4.012,7.385,2137.602,6.1888
